id,state,abbr,ave_mean_income,age_60_or_older,bachelor_degree,diabetes,heartattack,dental
1,Alabama,AL,23606,21.5,6.8,12.9,5.9,60
2,Alaska,AK,33062,15.1,7,7.4,3.3,64.4
4,Arizona,AZ,25715,21.6,6.9,10.1,4.4,59
5,Arkansas,AR,22883,21.7,7.4,12.8,6.7,57.1
6,California,CA,30441,18.3,9.5,10.3,3.5,65.1
8,Colorado,CO,32357,18.6,11.2,7.3,3.1,67
9,Connecticut,CT,39373,21.6,14.1,9.2,3.7,74.9
10,Delaware,DE,30488,22.4,8.5,11.1,5,66.5
11,District of Columbia,DC,45877,16.3,23.7,8.4,2.6,70.8
12,Florida,FL,26582,25.3,8.2,11.2,5.3,61.9
13,Georgia,GA,25615,17.9,8.2,11.6,4.5,60.6
15,Hawaii,HI,29736,22.3,7.5,9.8,3.1,71.6
16,Idaho,ID,23938,20.5,5.5,7.6,3.7,64.3
17,Illinois,IL,30417,19.7,12.9,10.1,3.7,63.9
18,Indiana,IN,25140,20.2,9,10.7,5,61.5
19,Iowa,IA,28361,22,9.8,9.5,4.4,69.4
20,Kansas,KS,27870,20.3,10.3,10.3,4.2,67.3
21,Kentucky,KY,23684,20.9,8.4,12.5,6.8,61
22,Louisiana,LA,24800,19.5,7.2,11.3,5.2,58.3
23,Maine,ME,27978,25.6,10.9,9.5,5.5,63.6
24,Maryland,MD,36338,19.6,12.7,10.1,3.2,70.2
25,Massachusetts,MA,37288,21.2,17.2,9.7,4.1,74.7
26,Michigan,MI,26613,21.9,9.7,10.4,5.2,68.6
27,Minnesota,MN,32638,20.3,12.8,8.1,3.8,72.6
28,Mississippi,MS,21036,20,5.7,13,4.9,56.8
29,Missouri,MO,26126,21.5,9.2,11.1,5.4,58.6
30,Montana,MT,25989,23.6,6.7,8.8,4.2,62.6
31,Nebraska,NE,27446,20.1,10.9,9.2,3.8,66.4
32,Nevada,NV,25773,19.9,5.4,9.6,4.8,59.9
33,New Hampshire,NH,34691,22.9,12,9.2,3.8,69.4
34,New Jersey,NJ,36593,20.6,14.4,9.7,4.2,70.2
35,New Mexico,NM,23683,21.5,5,11.5,4.2,61.3
36,New York,NY,33095,20.5,15.1,10,3.8,67.3
37,North Carolina,NC,25774,20.5,9.5,10.8,5.1,64.2
38,North Dakota,ND,33071,19.9,12.9,8.6,4.6,65.5
39,Ohio,OH,26937,21.8,9.5,11.7,5.4,65.3
40,Oklahoma,OK,25229,20.2,7.1,12,5.5,56.8
41,Oregon,OR,27646,22.9,7.6,9,4.6,65.7
42,Pennsylvania,PA,29220,23.2,12.1,11.2,4.8,66.8
44,Rhode Island,RI,30830,22.2,12.1,9.5,4.3,72.1
45,South Carolina,SC,24596,22.1,8.4,12,4.6,58.3
46,South Dakota,SD,26959,21.3,7.1,9.1,5.1,70.5
47,Tennessee,TN,24922,21.2,8.8,13,5.7,58.3
48,Texas,TX,27125,16.5,7.8,11,3.7,58.2
49,Utah,UT,24877,14.5,6.6,7.1,2.9,68.9
50,Vermont,VT,29178,24.2,12.7,7.9,3.8,72.2
51,Virginia,VA,34052,19.6,12.1,9.7,4.2,69.3
53,Washington,WA,31841,20.1,10.6,8.9,3.8,67
54,West Virginia,WV,22714,24.8,6.9,14.1,7.4,54.2
55,Wisconsin,WI,28213,21.6,10.5,9,3.7,70.1
56,Wyoming,WY,29698,20.6,6.6,8.4,4.6,65
72,Puerto Rico,PR,11241,23.4,7.6,15.7,5.3,65.8
