GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC29
Id,Id2,Geography,Total; Estimate; SELECTED AGE CATEGORIES - 60 years and over
0400000US01,01,Alabama,21.5
0400000US02,02,Alaska,15.1
0400000US04,04,Arizona,21.6
0400000US05,05,Arkansas,21.7
0400000US06,06,California,18.3
0400000US08,08,Colorado,18.6
0400000US09,09,Connecticut,21.6
0400000US10,10,Delaware,22.4
0400000US11,11,District of Columbia,16.3
0400000US12,12,Florida,25.3
0400000US13,13,Georgia,17.9
0400000US15,15,Hawaii,22.3
0400000US16,16,Idaho,20.5
0400000US17,17,Illinois,19.7
0400000US18,18,Indiana,20.2
0400000US19,19,Iowa,22.0
0400000US20,20,Kansas,20.3
0400000US21,21,Kentucky,20.9
0400000US22,22,Louisiana,19.5
0400000US23,23,Maine,25.6
0400000US24,24,Maryland,19.6
0400000US25,25,Massachusetts,21.2
0400000US26,26,Michigan,21.9
0400000US27,27,Minnesota,20.3
0400000US28,28,Mississippi,20.0
0400000US29,29,Missouri,21.5
0400000US30,30,Montana,23.6
0400000US31,31,Nebraska,20.1
0400000US32,32,Nevada,19.9
0400000US33,33,New Hampshire,22.9
0400000US34,34,New Jersey,20.6
0400000US35,35,New Mexico,21.5
0400000US36,36,New York,20.5
0400000US37,37,North Carolina,20.5
0400000US38,38,North Dakota,19.9
0400000US39,39,Ohio,21.8
0400000US40,40,Oklahoma,20.2
0400000US41,41,Oregon,22.9
0400000US42,42,Pennsylvania,23.2
0400000US44,44,Rhode Island,22.2
0400000US45,45,South Carolina,22.1
0400000US46,46,South Dakota,21.3
0400000US47,47,Tennessee,21.2
0400000US48,48,Texas,16.5
0400000US49,49,Utah,14.5
0400000US50,50,Vermont,24.2
0400000US51,51,Virginia,19.6
0400000US53,53,Washington,20.1
0400000US54,54,West Virginia,24.8
0400000US55,55,Wisconsin,21.6
0400000US56,56,Wyoming,20.6
0400000US72,72,Puerto Rico,23.4
